test_file,m,n,algorithm,Cmax,runtime_sec
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case152.txt,3,10,IP,28.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case152.txt,3,10,GA,28,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case146.txt,3,10,IP,26.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case146.txt,3,10,GA,26,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case147.txt,3,10,IP,24.0,15.16
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case147.txt,3,10,GA,24,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case153.txt,3,10,IP,17.0,0.18
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case153.txt,3,10,GA,18,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case184.txt,3,10,IP,24.0,0.06
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case184.txt,3,10,GA,24,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case190.txt,3,10,IP,30.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case190.txt,3,10,GA,30,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case61.txt,3,10,IP,21.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case61.txt,3,10,GA,21,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case75.txt,3,10,IP,20.999996102856894,1.55
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case75.txt,3,10,GA,21,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case49.txt,3,10,IP,20.99999900439919,0.7
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case49.txt,3,10,GA,21,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case71.txt,3,10,IP,23.0,0.07
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case71.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case65.txt,3,10,IP,20.0,0.03
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case65.txt,3,10,GA,21,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case59.txt,3,10,IP,32.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case59.txt,3,10,GA,32,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case194.txt,3,10,IP,34.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case194.txt,3,10,GA,34,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case180.txt,3,10,IP,27.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case180.txt,3,10,GA,27,0.05
